ProductKey;ProductSubcategoryKey;EnglishProductCategoryName;WeightUnitMeasureCode;SizeUnitMeasureCode;EnglishProductName;StandardCost;FinishedGoodsFlag;Color;SafetyStockLevel;ListPrice;Size;SizeRange;Weight;DaysToManufacture;ProductLine;DealerPrice;Class;Style;ModelName;EnglishDescription
210;14;Components;LB ;CM ;HL Road Frame - Black, 58;;TRUE;Black;500;;58;54-58 CM;2,24;1;R ;;H ;U ;HL Road Frame;"Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance."
211;14;Components;LB ;CM ;HL Road Frame - Red, 58;;TRUE;Red;500;;58;54-58 CM;2,24;1;R ;;H ;U ;HL Road Frame;"Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance."
212;31;Accessories;;;Sport-100 Helmet, Red;12,0278;TRUE;Red;4;33,6442;;NA;;0;S ;20,1865;;;Sport-100;Universal fit, well-vented, lightweight , snap-on visor.
213;31;Accessories;;;Sport-100 Helmet, Red;13,8782;TRUE;Red;4;33,6442;;NA;;0;S ;20,1865;;;Sport-100;Universal fit, well-vented, lightweight , snap-on visor.
214;31;Accessories;;;Sport-100 Helmet, Red;13,0863;TRUE;Red;4;34,99;;NA;;0;S ;20,994;;;Sport-100;Universal fit, well-vented, lightweight , snap-on visor.
215;31;Accessories;;;Sport-100 Helmet, Black;12,0278;TRUE;Black;4;33,6442;;NA;;0;S ;20,1865;;;Sport-100;Universal fit, well-vented, lightweight , snap-on visor.
216;31;Accessories;;;Sport-100 Helmet, Black;13,8782;TRUE;Black;4;33,6442;;NA;;0;S ;20,1865;;;Sport-100;Universal fit, well-vented, lightweight , snap-on visor.
217;31;Accessories;;;Sport-100 Helmet, Black;13,0863;TRUE;Black;4;34,99;;NA;;0;S ;20,994;;;Sport-100;Universal fit, well-vented, lightweight , snap-on visor.
218;23;Clothing;;;Mountain Bike Socks, M;3,3963;TRUE;White;4;9,5;M;M;;0;M ;5,7;;U ;Mountain Bike Socks;Combination of natural and synthetic fibers stays dry and provides just the right cushioning.
219;23;Clothing;;;Mountain Bike Socks, L;3,3963;TRUE;White;4;9,5;L;L;;0;M ;5,7;;U ;Mountain Bike Socks;Combination of natural and synthetic fibers stays dry and provides just the right cushioning.
220;31;Accessories;;;Sport-100 Helmet, Blue;12,0278;TRUE;Blue;4;33,6442;;NA;;0;S ;20,1865;;;Sport-100;Universal fit, well-vented, lightweight , snap-on visor.
221;31;Accessories;;;Sport-100 Helmet, Blue;13,8782;TRUE;Blue;4;33,6442;;NA;;0;S ;20,1865;;;Sport-100;Universal fit, well-vented, lightweight , snap-on visor.
222;31;Accessories;;;Sport-100 Helmet, Blue;13,0863;TRUE;Blue;4;34,99;;NA;;0;S ;20,994;;;Sport-100;Universal fit, well-vented, lightweight , snap-on visor.
223;19;Clothing;;;AWC Logo Cap;5,7052;TRUE;Multi;4;8,6442;;NA;;0;S ;5,1865;;U ;Cycling Cap;"Traditional style with a flip-up brim; one-size fits all."
224;19;Clothing;;;AWC Logo Cap;5,2297;TRUE;Multi;4;8,6442;;NA;;0;S ;5,1865;;U ;Cycling Cap;"Traditional style with a flip-up brim; one-size fits all."
225;19;Clothing;;;AWC Logo Cap;6,9223;TRUE;Multi;4;8,99;;NA;;0;S ;5,394;;U ;Cycling Cap;"Traditional style with a flip-up brim; one-size fits all."
226;21;Clothing;;;Long-Sleeve Logo Jersey, S;31,7244;TRUE;Multi;4;48,0673;S;S;;0;S ;28,8404;;U ;Long-Sleeve Logo Jersey;Unisex long-sleeve AWC logo microfiber cycling jersey
227;21;Clothing;;;Long-Sleeve Logo Jersey, S;29,0807;TRUE;Multi;4;48,0673;S;S;;0;S ;28,8404;;U ;Long-Sleeve Logo Jersey;Unisex long-sleeve AWC logo microfiber cycling jersey
228;21;Clothing;;;Long-Sleeve Logo Jersey, S;38,4923;TRUE;Multi;4;49,99;S;S;;0;S ;29,994;;U ;Long-Sleeve Logo Jersey;Unisex long-sleeve AWC logo microfiber cycling jersey
229;21;Clothing;;;Long-Sleeve Logo Jersey, M;31,7244;TRUE;Multi;4;48,0673;M;M;;0;S ;28,8404;;U ;Long-Sleeve Logo Jersey;Unisex long-sleeve AWC logo microfiber cycling jersey
230;21;Clothing;;;Long-Sleeve Logo Jersey, M;29,0807;TRUE;Multi;4;48,0673;M;M;;0;S ;28,8404;;U ;Long-Sleeve Logo Jersey;Unisex long-sleeve AWC logo microfiber cycling jersey
231;21;Clothing;;;Long-Sleeve Logo Jersey, M;38,4923;TRUE;Multi;4;49,99;M;M;;0;S ;29,994;;U ;Long-Sleeve Logo Jersey;Unisex long-sleeve AWC logo microfiber cycling jersey
232;21;Clothing;;;Long-Sleeve Logo Jersey, L;31,7244;TRUE;Multi;4;48,0673;L;L;;0;S ;28,8404;;U ;Long-Sleeve Logo Jersey;Unisex long-sleeve AWC logo microfiber cycling jersey
233;21;Clothing;;;Long-Sleeve Logo Jersey, L;29,0807;TRUE;Multi;4;48,0673;L;L;;0;S ;28,8404;;U ;Long-Sleeve Logo Jersey;Unisex long-sleeve AWC logo microfiber cycling jersey
234;21;Clothing;;;Long-Sleeve Logo Jersey, L;38,4923;TRUE;Multi;4;49,99;L;L;;0;S ;29,994;;U ;Long-Sleeve Logo Jersey;Unisex long-sleeve AWC logo microfiber cycling jersey
235;21;Clothing;;;Long-Sleeve Logo Jersey, XL;31,7244;TRUE;Multi;4;48,0673;XL;XL;;0;S ;28,8404;;U ;Long-Sleeve Logo Jersey;Unisex long-sleeve AWC logo microfiber cycling jersey
236;21;Clothing;;;Long-Sleeve Logo Jersey, XL;29,0807;TRUE;Multi;4;48,0673;XL;XL;;0;S ;28,8404;;U ;Long-Sleeve Logo Jersey;Unisex long-sleeve AWC logo microfiber cycling jersey
237;21;Clothing;;;Long-Sleeve Logo Jersey, XL;38,4923;TRUE;Multi;4;49,99;XL;XL;;0;S ;29,994;;U ;Long-Sleeve Logo Jersey;Unisex long-sleeve AWC logo microfiber cycling jersey
238;14;Components;LB ;CM ;HL Road Frame - Red, 62;747,9682;TRUE;Red;500;1263,4598;62;60-62 CM;2,3;1;R ;758,0759;H ;U ;HL Road Frame;"Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance."
239;14;Components;LB ;CM ;HL Road Frame - Red, 62;722,2568;TRUE;Red;500;1301,3636;62;60-62 CM;2,3;1;R ;780,8182;H ;U ;HL Road Frame;"Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance."
240;14;Components;LB ;CM ;HL Road Frame - Red, 62;868,6342;TRUE;Red;500;1431,5;62;60-62 CM;2,3;1;R ;858,9;H ;U ;HL Road Frame;"Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance."
241;14;Components;LB ;CM ;HL Road Frame - Red, 44;747,9682;TRUE;Red;500;1263,4598;44;42-46 CM;2,12;1;R ;758,0759;H ;U ;HL Road Frame;"Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance."
242;14;Components;LB ;CM ;HL Road Frame - Red, 44;722,2568;TRUE;Red;500;1301,3636;44;42-46 CM;2,12;1;R ;780,8182;H ;U ;HL Road Frame;"Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance."
243;14;Components;LB ;CM ;HL Road Frame - Red, 44;868,6342;TRUE;Red;500;1431,5;44;42-46 CM;2,12;1;R ;858,9;H ;U ;HL Road Frame;"Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance."
244;14;Components;LB ;CM ;HL Road Frame - Red, 48;747,9682;TRUE;Red;500;1263,4598;48;48-52 CM;2,16;1;R ;758,0759;H ;U ;HL Road Frame;"Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance."
245;14;Components;LB ;CM ;HL Road Frame - Red, 48;722,2568;TRUE;Red;500;1301,3636;48;48-52 CM;2,16;1;R ;780,8182;H ;U ;HL Road Frame;"Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance."
246;14;Components;LB ;CM ;HL Road Frame - Red, 48;868,6342;TRUE;Red;500;1431,5;48;48-52 CM;2,16;1;R ;858,9;H ;U ;HL Road Frame;"Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance."
247;14;Components;LB ;CM ;HL Road Frame - Red, 52;747,9682;TRUE;Red;500;1263,4598;52;48-52 CM;2,2;1;R ;758,0759;H ;U ;HL Road Frame;"Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance."
248;14;Components;LB ;CM ;HL Road Frame - Red, 52;722,2568;TRUE;Red;500;1301,3636;52;48-52 CM;2,2;1;R ;780,8182;H ;U ;HL Road Frame;"Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance."
249;14;Components;LB ;CM ;HL Road Frame - Red, 52;868,6342;TRUE;Red;500;1431,5;52;48-52 CM;2,2;1;R ;858,9;H ;U ;HL Road Frame;"Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance."
250;14;Components;LB ;CM ;HL Road Frame - Red, 56;747,9682;TRUE;Red;500;1263,4598;56;54-58 CM;2,24;1;R ;758,0759;H ;U ;HL Road Frame;"Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance."
251;14;Components;LB ;CM ;HL Road Frame - Red, 56;722,2568;TRUE;Red;500;1301,3636;56;54-58 CM;2,24;1;R ;780,8182;H ;U ;HL Road Frame;"Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance."
252;14;Components;LB ;CM ;HL Road Frame - Red, 56;868,6342;TRUE;Red;500;1431,5;56;54-58 CM;2,24;1;R ;858,9;H ;U ;HL Road Frame;"Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance."
253;14;Components;LB ;CM ;LL Road Frame - Black, 58;176,1997;TRUE;Black;500;297,6346;58;54-58 CM;2,46;1;R ;178,5808;L ;U ;LL Road Frame;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.
254;14;Components;LB ;CM ;LL Road Frame - Black, 58;170,1428;TRUE;Black;500;306,5636;58;54-58 CM;2,46;1;R ;183,9382;L ;U ;LL Road Frame;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.
255;14;Components;LB ;CM ;LL Road Frame - Black, 58;204,6251;TRUE;Black;500;337,22;58;54-58 CM;2,46;1;R ;202,332;L ;U ;LL Road Frame;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.
256;14;Components;LB ;CM ;LL Road Frame - Black, 60;176,1997;TRUE;Black;500;297,6346;60;60-62 CM;2,48;1;R ;178,5808;L ;U ;LL Road Frame;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.
257;14;Components;LB ;CM ;LL Road Frame - Black, 60;170,1428;TRUE;Black;500;306,5636;60;60-62 CM;2,48;1;R ;183,9382;L ;U ;LL Road Frame;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.
258;14;Components;LB ;CM ;LL Road Frame - Black, 60;204,6251;TRUE;Black;500;337,22;60;60-62 CM;2,48;1;R ;202,332;L ;U ;LL Road Frame;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.
259;14;Components;LB ;CM ;LL Road Frame - Black, 62;176,1997;TRUE;Black;500;297,6346;62;60-62 CM;2,5;1;R ;178,5808;L ;U ;LL Road Frame;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.
260;14;Components;LB ;CM ;LL Road Frame - Black, 62;170,1428;TRUE;Black;500;306,5636;62;60-62 CM;2,5;1;R ;183,9382;L ;U ;LL Road Frame;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.
261;14;Components;LB ;CM ;LL Road Frame - Black, 62;204,6251;TRUE;Black;500;337,22;62;60-62 CM;2,5;1;R ;202,332;L ;U ;LL Road Frame;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.
262;14;Components;LB ;CM ;LL Road Frame - Red, 44;181,4857;TRUE;Red;500;306,5636;44;42-46 CM;2,32;1;R ;183,9382;L ;U ;LL Road Frame;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.
263;14;Components;LB ;CM ;LL Road Frame - Red, 44;187,1571;TRUE;Red;500;337,22;44;42-46 CM;2,32;1;R ;202,332;L ;U ;LL Road Frame;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.
264;14;Components;LB ;CM ;LL Road Frame - Red, 48;181,4857;TRUE;Red;500;306,5636;48;48-52 CM;2,36;1;R ;183,9382;L ;U ;LL Road Frame;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.
265;14;Components;LB ;CM ;LL Road Frame - Red, 48;187,1571;TRUE;Red;500;337,22;48;48-52 CM;2,36;1;R ;202,332;L ;U ;LL Road Frame;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.
266;14;Components;LB ;CM ;LL Road Frame - Red, 52;181,4857;TRUE;Red;500;306,5636;52;48-52 CM;2,4;1;R ;183,9382;L ;U ;LL Road Frame;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.
267;14;Components;LB ;CM ;LL Road Frame - Red, 52;187,1571;TRUE;Red;500;337,22;52;48-52 CM;2,4;1;R ;202,332;L ;U ;LL Road Frame;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.
268;14;Components;LB ;CM ;LL Road Frame - Red, 58;181,4857;TRUE;Red;500;306,5636;58;54-58 CM;2,46;1;R ;183,9382;L ;U ;LL Road Frame;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.
